date,open,high,low,close,volume
2007-01-22,66.97,66.97,66.97,66.97,100
2007-01-23,66.74,66.75,66.38,66.65,97705
2007-01-24,67.09,67.17,67.07,67.17,152
2007-01-25,67.57,67.66,67.3,67.3,150320
2007-01-26,67.08,67.29,66.85,67.06,376357
2007-01-29,66.92,67.34,66.92,67.29,51210
2007-01-30,67.27,67.75,67.27,67.75,153519
2007-01-31,67.77,67.9,67.64,67.87,400728
2007-02-01,68.43,68.71,68.4,68.66,251139
2007-02-02,68.67,68.88,68.67,68.88,407700
2007-02-05,68.77,68.84,68.77,68.83,1747
2007-02-06,68.97,69.04,68.89,68.89,6597
2007-02-07,68.96,69.19,68.92,69.19,302069
2007-02-08,69.22,69.22,68.63,68.75,170168
2007-02-09,69.15,69.19,69.15,69.19,51110
2007-02-12,68.85,68.87,68.5,68.71,315553
2007-02-13,68.92,68.92,68.72,68.86,212370
2007-02-14,69.24,69.35,69.2,69.34,251752
2007-02-15,69.68,69.73,69.58,69.71,154916
2007-02-16,69.54,69.83,69.54,69.67,11079
2007-02-19,69.85,69.96,69.84,69.87,9419
2007-02-20,69.86,69.86,69.52,69.52,56413
2007-02-21,70.03,70.05,69.37,69.37,408355
2007-02-22,69.94,70.01,69.8,69.8,103083
2007-02-23,69.74,69.89,69.74,69.86,200060
2007-02-26,70.08,70.4,70.08,70.4,5790
2007-02-27,69.69,69.71,68.23,68.23,471352
2007-02-28,67.19,67.64,66.82,67.27,789558
2007-03-01,67.07,67.52,65.7,65.74,475589
2007-03-02,66.77,66.77,65.83,66.17,59346
2007-03-05,64.81,65.26,64.58,65.24,93148
2007-03-06,65.83,66.06,65.56,65.88,247221
2007-03-07,65.96,66.3,65.9,66.3,175865
2007-03-08,66.61,67.06,66.47,67.06,132610
2007-03-09,67.14,67.3,66.8,67.12,76303
2007-03-12,67.48,67.48,66.78,66.86,75792
2007-03-13,67.18,67.18,66.51,66.87,51972
2007-03-14,65.17,65.25,64.49,64.49,177802
2007-03-15,65.56,65.85,65.26,65.62,150748
2007-03-16,65.54,65.77,65.42,65.77,75337
2007-03-19,66.52,66.66,66.33,66.66,95155
2007-03-20,66.76,67.02,66.45,67.02,76629
2007-03-21,67.01,67.27,66.96,67.13,129850
2007-03-22,68.2,68.59,68.15,68.45,158223
2007-03-23,68.35,68.99,68.35,68.99,77625
2007-03-26,68.87,69.04,68.3,68.3,51370
2007-03-27,68.64,68.77,68.54,68.65,51600
2007-03-28,68.34,68.4,67.98,68.21,276405
2007-03-29,68.53,68.99,68.53,68.91,258560
2007-03-30,69.0,69.59,68.95,69.35,381535
2007-04-02,69.0,69.39,69.0,69.21,26600
2007-04-03,69.95,70.54,69.94,70.5,707540
2007-04-04,70.7,70.72,70.58,70.72,100666
2007-04-05,70.77,71.0,70.75,71.0,28329
2007-04-10,71.19,71.65,71.17,71.65,1681
2007-04-11,71.68,72.03,71.51,71.54,141380
2007-04-12,71.52,71.52,71.18,71.45,76173
2007-04-13,71.66,72.14,71.63,72.14,32454
2007-04-16,72.42,72.96,72.42,72.96,10142
2007-04-17,73.2,73.56,73.17,73.56,727
2007-04-18,73.21,73.89,72.57,72.86,81159
2007-04-19,72.09,72.38,71.56,72.31,150911
2007-04-20,72.94,73.53,72.93,73.53,8834
2007-04-23,73.59,73.59,73.2,73.4,31830
2007-04-24,73.44,73.44,72.6,72.85,151297
2007-04-25,73.16,73.5,73.08,73.37,129162
2007-04-26,73.96,74.1,73.68,73.68,156042
2007-04-27,73.85,73.86,73.43,73.65,127457
2007-04-30,73.73,74.24,73.72,74.2,54448
2007-05-02,74.35,74.57,74.35,74.54,2731
2007-05-03,74.75,74.75,74.33,74.33,26775
2007-05-04,74.77,75.03,74.72,74.97,54844
2007-05-07,75.16,75.33,75.16,75.18,1450
2007-05-08,75.1,75.1,74.16,74.16,256178
2007-05-09,74.9,74.9,74.34,74.58,229596
2007-05-10,74.65,74.7,74.09,74.13,103360
2007-05-11,73.76,74.33,73.19,74.33,155000
2007-05-14,75.17,75.17,75.0,75.06,2642
2007-05-15,74.4,75.19,74.28,74.92,78478
2007-05-16,74.72,75.0,74.72,74.72,126300
2007-05-17,75.0,75.01,75.0,75.01,34
2007-05-18,75.56,75.64,75.48,75.57,100951
2007-05-21,76.27,76.41,76.11,76.3,75679
2007-05-22,76.24,76.71,76.24,76.56,29449
2007-05-23,76.79,78.5,76.78,78.5,235212
2007-05-24,76.92,79.0,76.76,77.2,86024
2007-05-25,76.72,77.43,76.72,77.43,26535
2007-05-29,77.69,77.79,77.56,77.75,31586
2007-05-30,77.05,77.66,76.92,77.66,130720
2007-05-31,78.42,78.87,78.4,78.85,91936
2007-06-01,79.13,79.87,79.09,79.87,240402
2007-06-04,79.72,80.08,79.44,79.74,109890
2007-06-05,79.74,79.94,78.91,79.3,319815
2007-06-06,79.11,79.11,77.35,77.37,242850
2007-06-07,77.63,77.63,75.94,76.03,376875
2007-06-08,75.47,76.46,75.0,75.0,265947
2007-06-11,78.0,78.0,76.56,76.88,181933
2007-06-12,76.67,77.3,76.45,76.9,160538
2007-06-13,77.1,77.1,76.0,76.79,210159
2007-06-14,77.69,78.48,77.53,78.48,131860
2007-06-15,78.73,80.33,78.73,80.3,119712
2007-06-18,80.53,80.97,80.29,80.29,17689
2007-06-19,80.62,80.78,80.25,80.28,75863
2007-06-20,80.95,81.29,80.57,80.83,159445
2007-06-21,80.45,80.56,79.19,79.41,363288
2007-06-22,80.08,80.11,79.35,79.51,325947
2007-06-25,78.99,79.38,78.4,79.38,331345
2007-06-26,78.71,78.96,78.24,78.44,452222
2007-06-27,77.9,78.14,77.55,77.98,579977
2007-06-28,78.76,79.2,78.76,79.02,351977
2007-06-29,79.63,79.98,79.07,79.98,180626
2007-07-02,79.44,79.76,79.21,79.66,531100
2007-07-03,80.19,80.66,80.19,80.44,202881
2007-07-04,80.61,81.0,80.61,80.71,55018
2007-07-05,81.12,81.12,79.78,79.86,457558
2007-07-06,79.86,80.75,79.58,80.23,408614
2007-07-09,80.93,81.16,80.62,80.62,181162
2007-07-10,80.94,81.03,79.64,79.85,476888
2007-07-11,79.85,79.85,78.25,78.88,355815
2007-07-12,79.39,80.4,78.9,80.4,258907
2007-07-13,81.5,81.5,80.69,80.93,171776
2007-07-16,81.13,81.21,80.86,80.96,96063
2007-07-17,80.65,80.65,80.08,80.35,202610
2007-07-18,80.6,80.6,78.79,79.02,158402
2007-07-19,79.51,79.91,79.5,79.6,60062
2007-07-20,79.9,79.95,78.8,78.9,116294
2007-07-23,78.75,79.24,78.44,79.19,111526
2007-07-24,79.1,79.18,78.16,78.25,71310
2007-07-25,77.33,77.66,76.72,76.72,128046
2007-07-26,77.22,77.22,75.2,75.24,77496
2007-07-27,74.03,75.31,73.94,74.44,72285
2007-07-30,74.69,75.06,74.02,74.67,55702
2007-07-31,75.53,76.25,75.49,75.84,27557
2007-08-01,74.36,75.4,74.15,74.72,19499
2007-08-02,75.33,75.56,75.2,75.56,4295
2007-08-03,75.59,75.59,74.28,74.4,32151
2007-08-06,74.0,74.49,74.0,74.24,16387
2007-08-07,75.16,75.31,74.91,74.91,34572
2007-08-08,75.72,76.06,75.36,76.06,40654
2007-08-09,75.5,75.56,74.27,74.54,15485
2007-08-10,73.09,73.87,73.01,73.64,34971
2007-08-13,74.27,74.7,73.96,74.66,3780
2007-08-14,74.11,74.77,74.0,74.25,41759
2007-08-15,73.8,74.55,73.5,74.54,18884
2007-08-16,73.0,73.79,72.5,73.11,24822
2007-08-17,72.0,75.0,71.89,73.64,182032
2007-08-20,74.21,74.4,73.92,74.07,65625
2007-08-21,74.45,74.66,73.49,73.85,190123
2007-08-22,74.54,75.12,74.54,74.969,34096
2007-08-23,75.75,75.88,75.17,75.17,19055
2007-08-24,74.77,75.18,74.61,74.99,53386
2007-08-27,75.36,75.4,74.78,74.89,48697
2007-08-28,74.55,74.72,74.27,74.32,40409
2007-08-29,73.79,74.47,73.55,74.47,72250
2007-08-30,74.78,75.27,74.27,75.26,83765
2007-08-31,75.77,76.51,75.46,76.3,9423
2007-09-03,76.6,76.73,76.47,76.54,8590
2007-09-04,76.33,77.22,76.0,77.22,38124
2007-09-05,77.03,77.03,76.0,76.22,52053
2007-09-06,76.3,76.44,75.42,75.93,34943
2007-09-07,75.87,76.27,74.16,74.37,61922
2007-09-10,74.58,74.69,73.74,73.74,126576
2007-09-11,74.29,74.73,74.22,74.41,4277
2007-09-12,74.45,74.7,74.31,74.7,39933
2007-09-13,74.28,75.08,74.28,74.95,60439
2007-09-14,75.2,75.2,74.45,75.1,181588
2007-09-17,74.85,75.27,74.45,74.89,66575
2007-09-18,74.59,75.82,74.59,75.82,38394
2007-09-19,77.27,77.6,76.2,77.48,85186
2007-09-20,76.94,77.33,76.94,77.33,68499
2007-09-21,77.46,78.06,77.46,77.7,9467
2007-09-24,77.65,77.84,77.61,77.78,57538
2007-09-25,77.4,77.71,77.27,77.63,50384
2007-09-26,78.0,78.09,77.95,77.95,16857
2007-09-27,78.73,78.77,78.42,78.57,32106
2007-09-28,78.5,78.85,77.78,78.85,23115
2007-10-01,78.6,79.17,78.38,79.07,52816
2007-10-02,79.57,79.74,79.3,79.3,14577
2007-10-03,79.65,79.65,79.35,79.49,374
2007-10-04,79.51,79.53,79.1,79.43,39847
2007-10-05,79.49,80.0,79.48,79.89,51509
2007-10-08,79.96,79.99,79.7,79.7,6014
2007-10-09,79.72,80.0,79.56,79.82,16117
2007-10-10,80.01,80.09,79.63,79.68,29808
